time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,35,17,0,0
2026-05-04 00:00:00+00:00,7,2,0,0
2026-05-05 00:00:00+00:00,37,10,0,0
2026-05-06 00:00:00+00:00,11,5,0,0
2026-05-07 00:00:00+00:00,9,5,0,0
2026-05-08 00:00:00+00:00,21,6,0,0
2026-05-09 00:00:00+00:00,20,6,0,0
2026-05-10 00:00:00+00:00,2,2,0,0
2026-05-11 00:00:00+00:00,11,5,0,0
2026-05-12 00:00:00+00:00,20,4,0,0
2026-05-13 00:00:00+00:00,21,6,0,0
2026-05-14 00:00:00+00:00,22,6,0,0
2026-05-15 00:00:00+00:00,17,6,0,0
2026-05-16 00:00:00+00:00,18,8,0,0
